APN,STRNBR,STRDIRECT,STRNAME,STRAPART,STRFRACT,BLDSQFTTAXABLE
016 141000101,3101,,BENVENUE AVE,,,1055
016 141001501,6432,,BENVENUE AVE,,,0
016 141001801,6414,,BENVENUE AVE,,,0
016 141002201,2607,,ALCATRAZ AVE,,,837
016 141003200,6420,,BENVENUE AVE,COM,,0
016 141404300,2400,,WOOLSEY ST,,,1000
016 141404400,2412,,WOOLSEY ST,,,169
016 141404600,2418,,WOOLSEY ST,,,450
016 141404800,2420,,WOOLSEY ST,,,500
016 141405000,3100,,COLBY ST,,,0
016 142202000,6699,,TELEGRAPH AVE,,,5964
016 142202200,2320,,WOOLSEY ST,,,0
016 142202400,2314,,WOOLSEY ST,,,0
016 142202600,2312,,WOOLSEY ST,,,0
016 142202800,2308,,WOOLSEY ST,VACNT,,0
016 142203000,2304,,WOOLSEY ST,,,0
016 142203200,2300,,WOOLSEY ST,,,0
016 142505700,6618,,SHATTUCK AVE,,,0
016 142800202,3208,,SHATTUCK AVE,,,1198
048A707200500,6400,,MYSTIC ST,,,990
048A707200800,6368,,MYSTIC ST,,,575
048A707200900,6364,,MYSTIC ST,,,335
048A707201200,6300,,CLAREMONT AVE,,,0
048A707501500,6451,,MYSTIC ST,,,0
048H760703800,256,,ALVARADO RD,,,1460
048H760704200,290,,ALVARADO RD,,,0
048H766303700,617,,ALVARADO RD,,,0
048H766303800,111,,ALVARADO RD,,,0
048H767002600,41,,TUNNEL RD,,,0
048H767002902,0,,TUNNEL RD,,,0
048H767003100,59,,ALVARADO RD,,,0
048H768000102,3,,TANGLEWOOD RD,,,4447
048H768000201,5,,TANGLEWOOD RD,,,3499
048H768001400,19,,TANGLEWOOD RD,,,2802
048H768001700,97,,STONEWALL RD,,,0
048H768001900,11,,TANGLEWOOD RD,,,3688
048H768002700,29,,TANGLEWOOD RD,,,0
048H768003100,7,,TANGLEWOOD RD,,,3684
048H768003201,25,,TANGLEWOOD RD,,,4545
048H769000300,2951,,DERBY ST,,,125813
048H769000400,1,,TANGLEWOOD RD,,,0
049 151200101,1318,,SIXTY-SEVENTH ST,PARKG,,0
049 151200302,1462,,SIXTY-SEVENTH ST,,,0
049 151200601,1482,,SIXTY-SEVENTH ST,,,1350
052 136400100,1908,,ALCATRAZ AVE,,,7772
052 136400200,1916,,ALCATRAZ AVE,,,1269
052 136400300,1918,,ALCATRAZ AVE,,,4789
052 136400500,1926,,ALCATRAZ AVE,,,3153
052 140900101,3200,,COLLEGE AVE,,,12449
052 140900300,3212,,COLLEGE AVE,,,5770
052 141000200,3100,,COLLEGE AVE,,,15569
052 141001200,3148,,COLLEGE AVE,,,2583
052 141001402,3158,,COLLEGE AVE,,,3772
052 141001601,3170,,COLLEGE AVE,,,11582
052 141001800,2638,,WOOLSEY ST,,,3004
052 141002001,3110,,COLLEGE AVE,,,14340
052 141002201,3118,,COLLEGE AVE,,,5404
052 141002400,3122,,COLLEGE AVE,,,1586
052 141002600,3126,,COLLEGE AVE,,,9675
052 141002800,3128,,COLLEGE AVE,,,6040
052 141003000,3132,,COLLEGE AVE,,,3395
052 141003200,3136,,COLLEGE AVE,,,4659
052 141003400,3140,,COLLEGE AVE,,,4758
052 141003600,3144,,COLLEGE AVE,,,3274
052 141003700,3154,,COLLEGE AVE,1,,994
052 141003800,3154,,COLLEGE AVE,2,,994
052 141003900,3154,,COLLEGE AVE,3,,993
052 141004000,3154,,COLLEGE AVE,4,,993
052 141004100,3154,,COLLEGE AVE,COM,,0
052 142100101,3201,,TELEGRAPH AVE,,,1431
052 142300300,3200,,DEAKIN ST,,,1385
052 142501100,2116,,WOOLSEY ST,,,1616
052 142501200,2114,,WOOLSEY ST,,,1760
052 142501300,2112,,WOOLSEY ST,,,1616
052 142501500,3201,,SHATTUCK AVE,,,6700
052 142501601,2200,,WOOLSEY ST,,,1592
052 142501901,2150,,WOOLSEY ST,,,1020
052 142502000,2146,,WOOLSEY ST,,,1258
052 142502200,2144,,WOOLSEY ST,,,3032
052 142502401,2140,,WOOLSEY ST,,,3580
052 142502600,2138,,WOOLSEY ST,,,1367
052 142502800,2130,,WOOLSEY ST,,,3194
052 142503000,2126,,WOOLSEY ST,,,3406
052 142503200,2122,,WOOLSEY ST,,,2934
052 142503400,2118,,WOOLSEY ST,,,2488
052 142503600,3207,,SHATTUCK AVE,,,3667
052 142800400,2028,,WOOLSEY ST,,,1539
052 142800500,3200,,SHATTUCK AVE,,,3940
052 142800600,3202,,SHATTUCK AVE,,,2256
052 142800800,2022,,WOOLSEY ST,,,2190
052 142801000,2024,,WOOLSEY ST,,,2028
052 142801201,2026,,WOOLSEY ST,,,2148
052 142900100,2000,,WOOLSEY ST,,,2402
052 142900200,2004,,WOOLSEY ST,,,1943
052 142900300,2008,,WOOLSEY ST,,,1662
052 142900400,0,,WOOLSEY ST,,,0
052 142900500,2014,,WOOLSEY ST,,,2115
052 143300200,1828,,SIXTY-SECOND ST,,,2268
